CMDLINE C:\Users\Nata\anaconda\envs\opt_project\python.exe yoga-pose-classification-v0.py
MEM 1212.921875 1767781868.6879
MEM 1204.832031 1767781868.7882
MEM 1204.832031 1767781868.8886
MEM 1196.449219 1767781868.9890
MEM 1205.714844 1767781869.0902
MEM 1217.550781 1767781869.1913
MEM 1202.214844 1767781869.2916
MEM 1207.089844 1767781869.3923
MEM 1205.710938 1767781869.4928
MEM 1206.875000 1767781869.5935
MEM 1201.203125 1767781869.6940
MEM 1205.562500 1767781869.7948
MEM 1205.562500 1767781869.8955
MEM 1205.562500 1767781869.9972
MEM 1196.558594 1767781870.0977
MEM 1198.113281 1767781870.1995
MEM 1199.238281 1767781870.3006
MEM 1201.855469 1767781870.4013
MEM 1204.707031 1767781870.5022
MEM 1207.546875 1767781870.6045
MEM 1199.468750 1767781870.7050
MEM 1199.468750 1767781870.8077
MEM 1206.218750 1767781870.9081
MEM 1206.218750 1767781871.0086
MEM 1206.218750 1767781871.1092
MEM 1206.218750 1767781871.2105
MEM 1202.105469 1767781871.3123
MEM 1220.500000 1767781871.4136
MEM 1248.937500 1767781871.5155
MEM 1203.082031 1767781871.6159
MEM 1201.144531 1767781871.7175
MEM 1206.347656 1767781871.8194
MEM 1205.234375 1767781871.9202
MEM 1209.375000 1767781872.0207
MEM 1214.859375 1767781872.1219
MEM 1206.226562 1767781872.2233
MEM 1206.226562 1767781872.3245
MEM 1206.226562 1767781872.4259
MEM 1198.269531 1767781872.5269
MEM 1201.363281 1767781872.6276
MEM 1204.976562 1767781872.7284
MEM 1203.058594 1767781872.8293
MEM 1208.527344 1767781872.9298
MEM 1199.523438 1767781873.0307
MEM 1199.523438 1767781873.1312
MEM 1201.914062 1767781873.2317
MEM 1206.273438 1767781873.3325
MEM 1206.273438 1767781873.4330
MEM 1206.273438 1767781873.5340
MEM 1197.277344 1767781873.6356
MEM 1199.093750 1767781873.7385
MEM 1200.156250 1767781873.8391
MEM 1205.410156 1767781873.9428
MEM 1203.636719 1767781874.0455
MEM 1206.445312 1767781874.1462
MEM 1222.437500 1767781874.2469
MEM 1205.347656 1767781874.3488
MEM 1206.292969 1767781874.4510
MEM 1206.292969 1767781874.5513
MEM 1206.292969 1767781874.6518
MEM 1206.292969 1767781874.7523
MEM 1197.933594 1767781874.8536
MEM 1199.683594 1767781874.9548
